"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU1078","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae",NA,NA
"OTU1080","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU1090","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU1094","Bacteria","Actinobacteria",NA,NA,NA,NA,NA
"OTU1097","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU1099","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Mycobacteriaceae","Mycobacterium",NA
"OTU1104","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Mycobacteriaceae","Mycobacterium",NA
"OTU1112","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU1114","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU1122","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU1133","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU1134","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"OTU1142","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae",NA,NA
"OTU1143","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU1160","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"OTU1161","Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales","Conexibacteraceae","Conexibacter",NA
"OTU1163","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Pelagibius",NA
"OTU1171","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU1174","Bacteria","","","","","",""
"OTU1178","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"OTU1187","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU1188","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU1190","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Mycobacteriaceae","Mycobacterium",NA
"OTU1196","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU1198","Bacteria","Acidobacteria","Acidobacteria_Gp1","","","Gp1",NA
"OTU1200","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA,NA
"OTU1202","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella",NA
"OTU1203","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"OTU1227","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU1230","Bacteria","Acidobacteria","Acidobacteria_Gp1","","","Gp1",NA
